N	O	Ar	He	H	C	totall
0.708026142	0.290202225	0.001711371	6.0262E-05	0	0	2.40594E-09
0.692853056	0.305565973	0.001505718	7.4605E-05	6.47737E-07	0	1.81593E-09
0.677299108	0.321278682	0.001330465	9.10062E-05	7.38876E-07	0	1.39963E-09
0.661429131	0.337280409	0.001179944	0.000109674	8.41577E-07	0	1.0976E-09
0.645313244	0.353505995	0.001049064	0.000130741	9.57096E-07	0	8.7382E-10
0.628897772	0.370012034	0.000934669	0.000154438	1.08743E-06	0	7.04451E-10
0.612254296	0.386728902	0.000834537	0.000181031	1.23382E-06	0	5.74242E-10
0.595464052	0.403577926	0.000745978	0.000210645	1.39836E-06	0	4.72685E-10
0.578509762	0.420577504	0.000667507	0.000243645	1.58284E-06	0	3.92408E-10
0.56148419	0.437636134	0.000597706	0.000280181	1.78887E-06	0	3.28313E-10
0.544357623	0.454784215	0.000535562	0.000320579	2.01977E-06	0	2.76529E-10
0.52725616	0.471896469	0.000479964	0.00036513	2.27729E-06	0	2.34382E-10
0.510141196	0.48901181	0.000430327	0.000414103	2.56421E-06	0	1.99761E-10
0.49301784	0.506125567	0.000385829	0.000467881	2.88355E-06	0	1.71104E-10
0.476022665	0.523101445	0.000345926	0.000526724	3.23894E-06	0	1.47257E-10
0.459131107	0.539963997	0.00031014	0.000591123	3.63296E-06	0	1.27258E-10
0.442407854	0.556648944	0.000277942	0.000661194	4.06765E-06	0	1.10433E-10
0.425901043	0.573107807	0.000249078	0.000737522	4.55001E-06	0	9.61649E-11
0.409571783	0.589379498	0.00022312	0.000820515	5.0835E-06	0	8.40256E-11
0.393464813	0.605419216	0.000199795	0.000910505	5.67062E-06	0	7.3656E-11
0.377659888	0.621146862	0.000178832	0.0010081	6.31709E-06	0	6.47453E-11
0.362143335	0.636575945	0.000160013	0.001113676	7.03057E-06	0	5.70699E-11
0.346930702	0.65169065	0.000143109	0.001227727	7.81266E-06	0	5.04356E-11
0.332067757	0.666444968	0.00012793	0.001350672	8.67227E-06	0	4.46797E-11
0.317590966	0.680801635	0.000114319	0.001483463	9.61697E-06	0	3.96647E-11
0.303494194	0.694766651	0.000102105	0.0016264	1.06494E-05	0	3.52878E-11
0.289750943	0.708365947	9.11588E-05	0.001780165	1.17863E-05	0	3.14553E-11
0.276447086	0.721513391	8.13347E-05	0.00194517	1.30182E-05	0	2.80951E-11
0.263514133	0.734276364	7.25451E-05	0.002122587	1.43716E-05	0	2.51352E-11
0.251015241	0.746591511	6.46748E-05	0.002312726	1.58468E-05	0	2.25251E-11
0.238963954	0.75844431	5.76246E-05	0.002516655	1.74564E-05	0	2.02178E-11
